LATITUDE;LONGITUDE;PADRAO;CHURRASQUEIRA;PISCINA;PLAYGROUND;PORTARIA;SALAO_FESTAS;QUADRA_POLIESPORTIVA;VAGAS_GARAGEM;BANHEIROS;QUARTOS;AREA;VALOR
-23.52;-46.64;2;1;1;1;1;1;1;1;1;2;56.56;367624
-23.52;-46.64;2;1;1;1;1;1;1;1;1;2;56.56;420000
-23.52;-46.64;2;0;0;0;1;0;0;0;1;3;126.5;320000
-23.52;-46.64;2;0;0;0;1;0;0;0;0;2;78.67;254000
-23.52;-46.64;2;1;1;1;1;1;1;2;1;2;69.18;505000
-23.52;-46.64;2;1;1;1;1;1;1;2;1;3;96.67;624000
-23.52;-46.65;1;0;0;0;0;0;0;0;0;2;66.39;290000
-23.31;-46.39;2;1;1;1;1;1;0;1;0;2;48.53;365000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;3;93.09;530000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;93.09;662206
-23.52;-46.65;2;1;1;1;1;1;0;1;0;2;49.57;335000
-23.52;-46.64;2;1;0;1;1;1;1;0;0;1;32.86;215000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;830.17;592000
-23.52;-46.65;2;1;1;0;1;1;1;1;1;2;65.26;431000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;1;65.26;418000
-23.52;-46.65;2;1;0;0;0;1;1;1;1;2;65.26;544000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;83.17;545000
-23.52;-46.65;2;1;0;1;1;1;1;2;1;2;65.26;535300
-23.52;-46.65;2;1;1;1;1;1;1;1;1;2;65.26;548000
-23.52;-46.65;2;1;1;1;0;1;1;2;1;3;83.17;560000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;83.17;585000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;2;65.26;450000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;83.17;588000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;83.17;650000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;3;83.17;498000
-23.52;-46.65;2;0;1;1;1;1;0;2;1;2;65.26;422000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;65.26;460000
-23.52;-46.65;2;0;0;0;0;1;1;2;1;2;65.26;589000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;3;83.17;600000
-23.52;-46.65;2;1;1;1;1;1;0;2;1;3;83.17;575000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;2;65.26;482838
-23.52;-46.65;2;1;1;1;1;1;0;2;0;0;83.17;610000
-23.52;-46.65;2;0;1;1;1;1;1;1;1;2;65.26;525000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;2;65.26;620000
-23.52;-46.65;2;0;1;1;1;1;0;2;0;2;65.26;422111
-23.52;-46.65;2;0;0;0;1;1;0;1;1;2;65.26;509000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;2;65.26;479000
-23.52;-46.65;2;1;1;1;1;1;0;2;1;2;65.26;509000
-23.52;-46.65;2;1;1;1;1;1;0;3;2;4;145.32;1110000
-23.52;-46.65;2;1;1;1;1;1;1;2;2;2;88.11;739000
-23.52;-46.65;2;1;1;1;1;1;1;2;2;4;142.24;926000
-23.52;-46.65;2;0;1;1;1;1;1;2;1;2;88.11;750000
-23.52;-46.65;2;1;1;1;1;1;1;2;3;3;117.27;900000
-23.52;-46.66;2;1;1;1;1;1;1;2;3;3;117.27;849800
-23.52;-46.65;2;1;1;1;1;1;1;2;2;2;88.11;739000
-23.68;-46.59;2;1;1;1;1;1;1;2;1;2;88.11;800000
-23.68;-46.59;2;1;1;1;1;1;1;2;3;3;117.28;992000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;3;88.11;750000
-23.52;-46.65;2;1;1;1;1;1;0;3;2;4;142.24;950000
-23.52;-46.65;2;1;1;1;1;1;1;2;3;3;145.33;1108000
-23.52;-46.65;2;1;1;1;0;1;1;2;2;2;88.11;702000
-23.68;-46.59;2;1;1;1;1;1;1;2;1;3;88.11;745000
-23.52;-46.65;2;1;1;1;1;1;1;2;1;3;88.11;720000
-23.52;-46.65;1;0;0;0;0;0;0;0;0;2;64.83;240000
-23.51;-46.65;2;1;1;1;1;1;0;1;1;2;57.9;415000
